2023-10-15	2023	Quarter 4	October
2024-01-20	2024	Quarter 1	January
2024-03-05	2024	Quarter 1	March
2024-07-12	2024	Quarter 3	July
2024-12-28	2024	Quarter 4	December
2023-11-01	2023	Quarter 4	November
2024-02-14	2024	Quarter 1	February
2024-04-22	2024	Quarter 2	April
2024-08-08	2024	Quarter 3	August
2023-09-30	2023	Quarter 3	September
2024-05-18	2024	Quarter 2	May
2024-06-25	2024	Quarter 2	June
2023-12-05	2023	Quarter 4	December
2024-09-10	2024	Quarter 3	September
2024-11-22	2024	Quarter 4	November
2024-07-31	2024	Quarter 3	July
2024-08-30	2024	Quarter 3	August
2024-09-15	2024	Quarter 3	September
2024-10-31	2024	Quarter 4	October
2024-11-30	2024	Quarter 4	November
2017-10-15	2017	Quarter 4	October
2017-11-20	2017	Quarter 4	November
2017-12-25	2017	Quarter 4	December
2018-01-10	2018	Quarter 1	January
2018-02-15	2018	Quarter 1	February
2018-03-20	2018	Quarter 1	March
2018-04-12	2018	Quarter 2	April
2018-05-18	2018	Quarter 2	May
2018-06-22	2018	Quarter 2	June
2018-07-08	2018	Quarter 3	July
2018-08-14	2018	Quarter 3	August
2018-09-28	2018	Quarter 3	September
2018-10-05	2018	Quarter 4	October
2018-11-11	2018	Quarter 4	November
2018-12-17	2018	Quarter 4	December
2017-01-03	2017	Quarter 1	January
2017-02-09	2017	Quarter 1	February
2017-03-15	2017	Quarter 1	March
2017-04-21	2017	Quarter 2	April
2017-01-01	2017	Quarter 1	January
2017-01-08	2017	Quarter 1	January
2017-01-15	2017	Quarter 1	January
2017-01-22	2017	Quarter 1	January
2017-01-29	2017	Quarter 1	January
2017-02-05	2017	Quarter 1	February
2017-02-12	2017	Quarter 1	February
2017-02-19	2017	Quarter 1	February
2017-02-26	2017	Quarter 1	February
2017-03-05	2017	Quarter 1	March
2017-03-12	2017	Quarter 1	March
2017-03-19	2017	Quarter 1	March
2017-03-26	2017	Quarter 1	March
2017-04-02	2017	Quarter 2	April
2017-04-09	2017	Quarter 2	April
2017-04-16	2017	Quarter 2	April
2017-04-23	2017	Quarter 2	April
2017-04-30	2017	Quarter 2	April
2017-05-07	2017	Quarter 2	May
2017-05-14	2017	Quarter 2	May
2017-05-21	2017	Quarter 2	May
2017-05-28	2017	Quarter 2	May
2017-06-04	2017	Quarter 2	June
2017-06-11	2017	Quarter 2	June
2017-06-18	2017	Quarter 2	June
2017-06-25	2017	Quarter 2	June
2017-07-02	2017	Quarter 3	July
2017-07-09	2017	Quarter 3	July
2017-07-16	2017	Quarter 3	July
2017-07-23	2017	Quarter 3	July
